C,P,Q,Qp,MTD
0.0,7.976397450655608,41.97949810095802,0.0,49.95589555161363
0.0,8.001181968244255,42.00306502693086,0.0,50.004246995175116
0.0,8.025996488561177,42.026705111048905,0.0,50.05270159961008
0.0,8.05084071067673,42.05041844088497,0.0,50.1012591515617
0.0,8.075714331166115,42.074205103093504,0.0,50.149919434259616
0.0,8.100617050965525,42.09806518451629,0.0,50.19868223548181
0.0,8.125548568786494,42.121998771120346,0.0,50.24754733990684
0.0,8.150508577504585,42.14600594741552,0.0,50.2965145249201
0.0,8.175496767815883,42.17008679704418,0.0,50.345583564860064
0.0,8.200512828236992,42.19424140278121,0.0,50.3947542310182
0.0,8.225556445105038,42.218469846534035,0.0,50.44402629163908
0.0,8.250627302577668,42.24277220934258,0.0,50.49339951192025
0.0,8.275725082633047,42.26714857137933,0.0,50.542873654012375
0.0,8.300849465078057,42.29159901193646,0.0,50.59244847701452
0.0,8.32600012820579,42.316123608399025,0.0,50.642123736604816
0.0,8.35117674813576,42.340722437275375,0.0,50.69189918541113
0.0,8.376378998510901,42.36539557467041,0.0,50.74177457318131
0.0,8.401606550830728,42.39014309576522,0.0,50.791749646595946
0.0,8.426859074451329,42.41496507481711,0.0,50.84182414926844
0.0,8.452136236585378,42.43986158515961,0.0,50.891997821744994
0.0,8.477437702302122,42.46483269920244,0.0,50.94227040150456
0.0,8.502763134527386,42.489878488431536,0.0,50.99264162295892
0.0,8.528112191604475,42.51499902622486,0.0,51.043111217829335
0.0,8.553484539121566,42.5401943741983,0.0,51.09367891331986
0.0,8.578879830481508,42.565464604636794,0.0,51.1443444351183
0.0,8.604297720704992,42.59080978455931,0.0,51.1951075052643
0.0,8.629737862680983,42.61622998004753,0.0,51.24596784272851
0.0,8.655199907172188,42.64172525623953,0.0,51.29692516341172
0.0,8.680683502820496,42.6672956773235,0.0,51.347979180143994
0.0,8.706188296152447,42.69294130653143,0.0,51.39912960268388
0.0,8.731713931584679,42.718662206132834,0.0,51.45037613771751
0.0,8.757260051456004,42.74445843740671,0.0,51.50171848886272
0.0,8.782826297416717,42.770330059507415,0.0,51.553156356924134
0.0,8.808412308843112,42.796277130754966,0.0,51.604689439598076
0.0,8.834017722430312,42.82229970896511,0.0,51.65631743139542
0.0,8.859642172863971,42.848397850900014,0.0,51.708040023763985
0.0,8.885285292828991,42.87457161225927,0.0,51.759856905088256
0.0,8.910946713018209,42.90082104767096,0.0,51.811767760689165
0.0,8.936626062141118,42.92714621068276,0.0,51.86377227282387
0.0,8.96232296693255,42.953547153752915,0.0,51.91587012068547
0.0,8.988037052161403,42.980023928241366,0.0,51.96806098040277
0.0,9.013767940639319,43.00657658440076,0.0,52.02034452504008
0.0,9.039515253229409,43.03320517136754,0.0,52.07272042459695
0.0,9.065278608854937,43.05990973715296,0.0,52.125188346007896
0.0,9.091057624508041,43.08669032863416,0.0,52.1777479531422
0.0,9.116851915573461,43.11354699152444,0.0,52.2303989070979
0.0,9.14266109679311,43.1404797703012,0.0,52.28314086709431
0.0,9.168484780102734,43.16748870834037,0.0,52.3359734884431
0.0,9.194322575456749,43.194573847853604,0.0,52.38889642331036
0.0,9.220174090986365,43.221735229869466,0.0,52.44190932085583
0.0,9.246038933011091,43.248972894224295,0.0,52.49501182723539
0.0,9.271916706050245,43.27628687955308,0.0,52.54820358560333
0.0,9.29780701283447,43.30367722328034,0.0,52.60148423611481
0.0,9.323709454317232,43.33114396161097,0.0,52.6548534159282
0.0,9.34962362968634,43.35868712952112,0.0,52.708310759207464
0.0,9.375549136375449,43.386306760749086,0.0,52.76185589712453
0.0,9.401485570075577,43.414002887786154,0.0,52.81548845786173
0.0,9.427432524746608,43.44177554186747,0.0,52.86920806661408
0.0,9.4533895926288,43.469624752962986,0.0,52.92301434559179
0.0,9.479356364195695,43.49755055095789,0.0,52.976906915153585
0.0,9.505332428204767,43.52555296484896,0.0,53.03088539305373
0.0,9.531317371772483,43.55363202144541,0.0,53.08494939321789
0.0,9.557310780337945,43.58178774633147,0.0,53.139098526669414
0.0,9.583312237674225,43.610020163860746,0.0,53.193332401534974
